Ticker,timestamp,Date,Error,data_source,last_price,volume,price_source,quote_time,trade_time,quote_age_sec,is_market_open,market_status,price_history_status,hv_status,iv_30d,IV_7_D_Call,IV_14_D_Call,IV_21_D_Call,IV_30_D_Call,IV_60_D_Call,IV_90_D_Call,IV_120_D_Call,IV_150_D_Call,IV_180_D_Call,IV_270_D_Call,IV_360_D_Call,IV_720_D_Call,IV_1080_D_Call,IV_7_D_Put,IV_14_D_Put,IV_21_D_Put,IV_30_D_Put,IV_60_D_Put,IV_90_D_Put,IV_120_D_Put,IV_150_D_Put,IV_180_D_Put,IV_270_D_Put,IV_360_D_Put,IV_720_D_Put,IV_1080_D_Put,hv_10,hv_20,hv_30,hv_60,hv_90,HV_10_D_Cur,HV_20_D_Cur,HV_30_D_Cur,HV_60_D_Cur,HV_90_D_Cur,HV_120_D_Cur,HV_150_D_Cur,HV_180_D_Cur,hv_slope,volatility_regime,highPrice,lowPrice,openPrice,closePrice,52WeekHigh,52WeekLow,netChange,netPercentChange,dividendDate,dividendYield,snapshot_ts
LIN,2026-01-09 11:24:56.717189,2026-01-09,,schwab,443.7,899052.0,lastPrice,1767986452624,1767986453854,242.863,True,OPEN,OK,COMPUTED,19.487,,,,19.487,,,,,,,,,,,,,,,,,,,,,,,9.915274154488769,15.889643624335765,17.425199159777986,17.998636418875083,16.97599206260926,9.915274154488769,15.889643624335765,17.425199159777986,17.998636418875083,16.97599206260926,15.682930061325283,15.175471440226268,15.043496840034091,-7.509925005289217,Normal,444.5599,437.17,437.82,439.69,486.38,387.78,4.01,0.91200619,,,2026-01-09 11:24:56.717189
CACI,2026-01-09 11:24:56.717189,2026-01-09,,schwab,600.91,203443.0,lastPrice,1767986441932,1767986424784,271.933,True,OPEN,OK,COMPUTED,35.623,,,,35.623,,,,,,,,,,,,,,,,,,,,,,,38.70852889036507,33.56715939708638,29.66074659915771,34.56910790025627,32.17919846943346,38.70852889036507,33.56715939708638,29.66074659915771,34.56910790025627,32.17919846943346,31.464586031567265,30.219615023160408,31.152053549359373,9.047782291207362,Normal,607.12,581.85,585.36,584.09,632.77,318.595,16.82,2.8796932,,,2026-01-09 11:24:56.717189
LMT,2026-01-09 11:24:56.717189,2026-01-09,,schwab,544.5,1772144.0,lastPrice,1767986451646,1767986444894,251.823,True,OPEN,OK,COMPUTED,28.37,,,,28.37,,,,,,,,,,,,,,,,,,,,,,,44.57076174019585,33.531980408304754,31.423233495734763,27.322337235512155,23.73024145073653,44.57076174019585,33.531980408304754,31.423233495734763,27.322337235512155,23.73024145073653,27.50428273750974,27.441203394200585,26.34786841011639,13.147528244461084,Normal_Expansion,544.81,525.88,525.88,518.44,544.81,410.11,26.06,5.02661832,,,2026-01-09 11:24:56.717189
ULTA,2026-01-09 11:24:56.717189,2026-01-09,,schwab,668.025,410082.0,lastPrice,1767986450924,1767986455587,241.13,True,OPEN,OK,COMPUTED,27.252,,,,27.252,,,,,,,,,,,,,,,,,,,,,,,18.781737142843905,20.8471140502991,40.044312016729464,33.89883802033149,30.575617514132,18.781737142843905,20.8471140502991,40.044312016729464,33.89883802033149,30.575617514132,32.36737780449616,29.972577127004136,31.74733596429025,-21.26257487388556,High_Contraction,675.65,657.0,657.3,657.46,675.65,309.01,10.565,1.60694187,,,2026-01-09 11:24:56.717189
DPZ,2026-01-09 11:24:56.717189,2026-01-09,,schwab,405.71,245881.0,lastPrice,1767986437863,1767986339804,356.913,True,OPEN,OK,COMPUTED,28.344,,,,28.344,,,,,,,,,,,,,,,,,,,,,,,21.71010062511404,22.4673756340365,21.071741126493414,20.99846884291478,21.24735303792411,21.71010062511404,22.4673756340365,21.071741126493414,20.99846884291478,21.24735303792411,22.891777360133563,22.50678352307764,21.478492771220456,0.6383594986206269,Normal_Compression,409.0,402.38,405.83,406.58,500.55,392.89,-0.87,-0.21398003,,,2026-01-09 11:24:56.717189
FDS,2026-01-09 11:24:56.717189,2026-01-09,,schwab,294.16,208330.0,lastPrice,1767986416515,1767986437660,259.057,True,OPEN,OK,COMPUTED,29.212,,,,29.212,,,,,,,,,,,,,,,,,,,,,,,16.797300702054496,37.570952990098824,32.94719544275351,33.925598988280505,37.15362631471202,16.797300702054496,37.570952990098824,32.94719544275351,33.925598988280505,37.15362631471202,34.048087488582404,31.32919375860741,30.02498703447855,-16.149894740699015,Normal_Contraction,297.3588,290.22,296.46,294.17,477.92,250.5,-0.01,-0.00339939,,,2026-01-09 11:24:56.717189
GPI,2026-01-09 11:24:56.717189,2026-01-09,,schwab,401.82,50863.0,lastPrice,1767986227209,1767986389581,307.136,True,OPEN,OK,COMPUTED,32.723,,,,32.723,,,,,,,,,,,,,,,,,,,,,,,16.88363234853948,18.654963831593268,19.03574829303465,27.529120613244885,27.76267217583864,16.88363234853948,18.654963831593268,19.03574829303465,27.529120613244885,27.76267217583864,29.239053340221226,32.29443084390714,30.935728733404783,-2.152115944495172,Normal_Compression,405.03,396.3,400.76,400.97,490.09,355.91,0.85,0.21198593,,,2026-01-09 11:24:56.717189
WSO,2026-01-09 11:24:56.717189,2026-01-09,,schwab,372.98,234523.0,lastPrice,1767986450769,1767986434614,262.103,True,OPEN,OK,COMPUTED,32.905,,,,32.905,,,,,,,,,,,,,,,,,,,,,,,31.15872409884129,26.015685004625706,29.655477270329857,33.35365859238654,32.15826674893557,31.15872409884129,26.015685004625706,29.655477270329857,33.35365859238654,32.15826674893557,32.16829016605897,30.197462600000797,29.45216143663904,1.5032468285114362,Normal_Compression,372.98,361.455,362.64,360.76,535.4,323.05,12.22,3.38729349,,,2026-01-09 11:24:56.717189
TT,2026-01-09 11:24:56.717189,2026-01-09,,schwab,382.96,611003.0,lastPrice,1767986428573,1767986437597,259.12,True,OPEN,OK,COMPUTED,30.331,,,,30.331,,,,,,,,,,,,,,,,,,,,,,,23.081929217455272,24.606884171526556,21.845869097306444,24.610499866551187,22.760454511510066,23.081929217455272,24.606884171526556,21.845869097306444,24.610499866551187,22.760454511510066,25.259707884601152,23.718005013609098,24.933653025026953,1.236060120148828,Normal_Compression,385.62,380.33,380.5,378.36,476.185,298.15,4.6,1.21577334,,,2026-01-09 11:24:56.717189
CVCO,2026-01-09 11:24:56.717189,2026-01-09,,schwab,666.495,140785.0,lastPrice,1767986423009,1767986321754,374.963,True,OPEN,OK,COMPUTED,44.316,,,,44.316,,,,,,,,,,,,,,,,,,,,,,,28.885479650986092,24.009822152739513,28.554407035711225,40.88522306945364,44.537037818329,28.885479650986092,24.009822152739513,28.554407035711225,40.88522306945364,44.537037818329,42.40812868543913,40.99089709148638,39.822037814784586,0.3310726152748664,Normal_Compression,669.1,644.0,644.0,642.69,669.1,393.53,23.805,3.70396303,,,2026-01-09 11:24:56.717189
